Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
OMC,Omnicom Group,18,0.1,10.1,7.8,2,2021-05
OKE,Oneok,25,13.8,8.1,3.4,1,2021-05
ORCL,Oracle Corp.,18,0.4,11.2,6.6,3,2021-05
OTIS,Otis Worldwide,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PCAR,Paccar,28,8.3,11.3,8.8,3,2021-05
PKG,Packaging Corporation of America,14,8.9,1.4,3.8,2,2021-05
PH,Parker-Hannifin,28,8.3,12.1,7.5,2,2021-05
PAYX,Paychex Inc.,16,0.1,9.2,6.6,0,2021-05
PAYC,Paycom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PYPL,PayPal,18,0.1,11.1,6.5,2,2021-05
PENN,Penn National Gaming,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PNR,Pentair plc,30,9.1,13.7,7,1,2021-05
PBCT,People's United Financial,24,1.8,12.2,9.8,2,2021-05
PEP,PepsiCo Inc.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PKI,PerkinElmer,18,5.1,7.8,4.8,3,2021-05
PRGO,Perrigo,40,3.1,23.7,13.5,2,2021-05
PFE,Pfizer Inc.,25,1.8,13.1,9.6,3,2021-05
PM,Philip Morris International,23,3.8,11.3,8.2,3,2021-05
PSX,Phillips 66,33,19.3,8.1,5.4,3,2021-05
PNW,Pinnacle West Capital,29,12.2,10.5,6.2,2,2021-05
PXD,Pioneer Natural Resources,33,15.1,9.1,8.8,1,2021-05
PNC,PNC Financial Services,22,1.8,12.4,8.3,3,2021-05
POOL,Pool Corporation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PPG,PPG Industries,26,9.7,8.6,7.5,1,2021-05
PPL,PPL Corp.,35,18.9,11,5.5,2,2021-05
PFG,Principal Financial Group,20,2.1,7.6,10.5,1,2021-05
PG,Procter & Gamble,25,8.2,9.5,7.4,3,2021-05
PGR,Progressive Corp.,23,1.8,9.3,11.8,2,2021-05
PLD,Prologis,10,2.4,3.4,3.9,1,2021-05
PRU,Prudential Financial,17,1,7.3,9.1,2,2021-05
PTC,PTC Inc,20,1.2,12.7,5.7,2,2021-05
PEG,Public Service Enterprise Group (PSEG),29,14.5,9.7,5.2,2,2021-05
PSA,Public Storage,15,4.9,4.3,5.5,0,2021-05
PHM,PulteGroup,24,9.1,9,5.4,2,2021-05
PVH,PVH Corp.,16,1.2,9.1,5.3,3,2021-05
QRVO,Qorvo,32,16.1,8.9,7.2,0,2021-05
PWR,Quanta Services Inc.,36,8.8,16.9,10.5,1,2021-05
QCOM,Qualcomm,19,6.3,3.5,9.3,4,2021-05
DGX,Quest Diagnostics,19,0.1,10.1,8.6,3,2021-05
